date,timeset,timefixation,start,average,stop,time,data
9/23/2018 2:42:25 PM,60,None,139.63,39557.7,199.63,"140.000 141.000 142.000 143.000 144.000 145.000 146.000 147.000 148.000 149.000 150.000 151.000 152.000 153.000 154.000 155.000 156.000 157.000 158.000 159.000 160.000 161.000 162.000 163.000 164.000 165.000 166.000 167.000 168.000 169.000 170.000 171.000 172.000 173.000 174.000 175.000 176.000 177.000 178.000 179.000 180.000 181.000 182.000 183.000 184.000 185.000 186.000 187.000 188.000 189.000 190.000 191.000 192.000 193.000 194.000 195.000 196.000 197.000 198.000 199.000 ","21636.780 10089.410 12984.500 7398.390 9516.956 8771.440 7765.195 13479.980 7059.576 6924.596 7354.106 7441.206 7565.450 7605.810 197740.000 417018.800 401674.800 11694.760 38346.630 42652.420 15017.180 17118.480 32395.810 549252.100 20952.810 9717.209 7701.858 8087.458 8818.022 144678.300 21691.100 15504.200 11365.710 10533.250 10186.390 10214.480 9378.183 9764.150 8964.835 9498.669 9618.918 8737.662 8219.906 9262.446 8582.001 8376.603 9708.601 10628.950 10570.580 9889.081 10981.610 10308.730 11449.680 10324.600 11424.770 10952.220 10269.400 11208.890 11700.070 11913.850 "
9/23/2018 2:43:52 PM,60,None,226.72,63030.94,229.22,"227.000 228.000 229.000 ","13608.330 40528.950 166176.900 "
9/23/2018 2:44:06 PM,60,None,240.44,6886.098,241.78,"241.000 ","6500.260 "
