date,timeset,timefixation,start,stop,average,time,data
9/23/2018 3:42:58 PM,60,None,248.16,308.16,45.72168,"248.879 249.879 250.879 251.879 252.879 253.879 254.879 255.879 256.879 257.879 258.879 259.879 260.879 261.879 262.879 263.879 264.879 265.879 266.879 267.879 268.879 269.879 270.879 271.879 272.879 273.879 274.879 275.879 276.879 277.879 278.879 279.879 280.879 281.879 282.879 283.879 284.879 285.879 286.879 287.879 288.879 289.879 290.879 291.879 292.879 293.879 294.879 295.879 296.879 297.879 298.879 299.879 300.879 301.879 302.879 303.879 304.879 305.879 306.879 307.879 ","41.213 25.935 33.286 26.884 24.059 22.709 53.704 20.984 15.614 19.735 23.617 34.090 32.881 15.287 22.981 23.008 60.031 18.164 13.404 27.709 76.387 29.540 20.242 21.658 31.864 32.735 12.129 22.732 7.445 21.360 23.379 35.466 29.512 28.314 46.849 31.025 43.697 26.975 17.848 30.879 35.844 35.199 51.691 152.160 20.720 53.637 20.606 21.817 44.508 21.737 72.460 73.497 43.447 24.463 25.080 23.264 384.808 88.075 335.852 79.493 "
9/23/2018 3:45:58 PM,60,None,428.16,38.61448,429.13,"428.879 ","48.460 "
