date,timeset,timefixation,start,average,stop,time,data
9/23/2018 3:44:27 PM,60,None,337.13,27.53548,397.13,"337.879 338.879 339.879 340.879 341.879 342.879 343.879 344.879 345.879 346.879 347.879 348.879 349.879 350.879 351.879 352.879 353.879 354.879 355.879 356.879 357.879 358.879 359.879 360.879 361.879 362.879 363.879 364.879 365.879 366.879 367.879 368.879 369.879 370.879 371.879 372.879 373.879 374.879 375.879 376.879 377.879 378.879 379.879 380.879 381.879 382.879 383.879 384.879 385.879 386.879 387.879 388.879 389.879 390.879 391.879 392.879 393.879 394.879 395.879 396.879 ","21.847 25.187 16.949 19.215 63.263 45.721 25.091 20.379 60.137 23.448 19.345 25.588 15.253 17.739 9.364 19.996 40.214 23.631 17.962 26.827 36.381 30.138 9.152 14.291 9.337 10.568 13.346 11.367 24.242 69.463 15.550 23.794 18.923 21.748 16.976 22.565 21.778 22.514 24.900 21.230 8.680 25.071 26.073 42.147 37.067 112.797 58.422 32.248 31.993 24.418 17.051 7.622 27.725 31.015 39.733 24.877 72.373 14.787 24.079 13.164 "
9/23/2018 3:45:43 PM,60,None,413.29,35.5242,413.66,,
9/23/2018 3:45:49 PM,60,None,419.44,43.59375,420.47,"419.879 ","39.269 "
9/23/2018 3:46:03 PM,60,None,433.44,433.81,,18.98268,
