date,timeset,start,average,stop,time,data
9/7/2018 2:12:24 PM,120,570.82,21.73895,690.82,"571.348 572.348 573.348 574.348 575.348 576.348 577.348 578.348 579.348 580.348 581.348 582.348 583.348 584.348 585.348 586.348 587.348 588.348 589.348 590.348 591.348 592.348 593.348 594.348 595.348 596.348 597.348 598.348 599.348 600.348 601.348 602.348 603.348 604.348 605.348 606.348 607.348 608.348 609.348 610.348 611.348 612.348 613.348 614.348 615.348 616.348 617.348 618.348 619.348 620.348 621.348 622.348 623.348 624.348 625.348 626.348 627.348 628.348 629.348 630.348 631.348 632.348 633.348 634.348 635.348 636.348 637.348 638.348 639.348 640.348 641.348 642.348 643.348 644.348 645.348 646.348 647.348 648.348 649.348 650.348 651.348 652.348 653.348 654.348 655.348 656.348 657.348 658.348 659.348 660.348 661.348 662.348 663.348 664.348 665.348 666.348 667.348 668.348 669.348 670.348 671.348 672.348 673.348 674.348 675.348 676.348 677.348 678.348 679.348 680.348 681.348 682.348 683.348 684.348 685.348 686.348 687.348 688.348 689.348 690.348 ","27.369 10.531 5.460 21.511 24.492 18.247 21.959 9.472 9.064 15.597 12.565 12.149 25.911 16.355 16.453 10.939 14.672 14.757 12.902 15.664 15.298 27.753 24.168 25.570 10.736 13.170 13.374 9.187 7.357 21.968 19.096 11.357 5.891 14.137 15.543 15.691 9.103 34.756 15.617 10.943 19.310 16.051 34.115 30.058 12.718 14.421 13.460 6.338 4.367 34.090 17.000 13.095 11.954 57.172 10.328 9.515 20.754 68.636 23.728 18.970 11.317 17.599 45.924 47.826 52.446 19.788 8.065 11.341 6.560 19.804 39.556 17.020 19.683 34.536 16.461 27.367 47.655 21.182 19.280 15.193 19.971 26.154 17.382 79.949 19.157 10.015 10.301 16.156 16.251 29.889 5.148 17.140 12.521 11.449 16.292 47.463 43.568 21.134 44.973 29.217 43.260 16.723 17.279 16.417 16.539 28.187 11.086 9.555 26.480 35.268 97.877 43.485 34.059 50.844 20.615 16.322 12.988 18.798 19.015 11.181 "
9/7/2018 2:15:07 PM,120,733.56,69.40166,853.57,"734.348 735.348 736.348 737.348 738.348 739.348 740.348 741.348 742.348 743.348 744.348 745.348 746.348 747.348 748.348 749.348 750.348 751.348 752.348 753.348 754.348 755.348 756.348 757.348 758.348 759.348 760.348 761.348 762.348 763.348 764.348 765.348 766.348 767.348 768.348 769.348 770.348 771.348 772.348 773.348 774.348 775.348 776.348 777.348 778.348 779.348 780.348 781.348 782.348 783.348 784.348 785.348 786.348 787.348 788.348 789.348 790.348 791.348 792.348 793.348 794.348 795.348 796.348 797.348 798.348 799.348 800.348 801.348 802.348 803.348 804.348 805.348 806.348 807.348 808.348 809.348 810.348 811.348 812.348 813.348 814.348 815.348 816.348 817.348 818.348 819.348 820.348 821.348 822.348 823.348 824.348 825.348 826.348 827.348 828.348 829.348 830.348 831.348 832.348 833.348 834.348 835.348 836.348 837.348 838.348 839.348 840.348 841.348 842.348 843.348 844.348 845.348 846.348 847.348 848.348 849.348 850.348 851.348 852.348 853.348 ","32.967 33.986 19.331 46.121 70.311 129.097 105.809 29.239 67.142 44.256 76.391 49.474 87.757 68.126 28.526 41.022 86.991 86.606 130.105 45.855 24.672 26.534 22.166 18.378 18.292 15.868 14.984 117.554 146.305 83.601 142.942 54.475 90.633 117.217 95.981 35.703 63.866 41.363 47.066 62.158 41.586 49.642 85.888 43.697 23.292 140.305 119.279 128.907 70.994 108.758 85.799 90.040 124.085 53.586 173.924 14.092 16.402 38.635 170.546 260.500 99.904 99.653 44.302 67.457 79.293 60.968 149.390 83.386 42.969 43.641 115.474 69.285 48.507 15.138 10.007 8.932 84.800 32.873 5.377 63.670 146.162 31.800 130.223 29.312 81.070 53.399 133.521 18.050 70.748 27.475 50.296 55.766 9.455 42.903 66.024 55.266 94.689 78.440 56.286 24.806 55.863 118.224 42.360 17.387 19.299 27.881 25.195 35.468 37.240 37.737 91.254 53.423 83.388 94.610 222.211 85.512 130.524 81.745 124.045 135.409 "
9/7/2018 2:44:05 PM,120,394.57,25.75734,514.60,"394.941 395.941 396.941 397.941 398.941 399.941 400.941 401.941 402.941 403.941 404.941 405.941 406.941 407.941 408.941 409.941 410.941 411.941 412.941 413.941 414.941 415.941 416.941 417.941 418.941 419.941 420.941 421.941 422.941 423.941 424.941 425.941 426.941 427.941 428.941 429.941 430.941 431.941 432.941 433.941 434.941 435.941 436.941 437.941 438.941 439.941 440.941 441.941 442.941 443.941 444.941 445.941 446.941 447.941 448.941 449.941 450.941 451.941 452.941 453.941 454.941 455.941 456.941 457.941 458.941 459.941 460.941 461.941 462.941 463.941 464.941 465.941 466.941 467.941 468.941 469.941 470.941 471.941 472.941 473.941 474.941 475.941 476.941 477.941 478.941 479.941 480.941 481.941 482.941 483.941 484.941 485.941 486.941 487.941 488.941 489.941 490.941 491.941 492.941 493.941 494.941 495.941 496.941 497.941 498.941 499.941 500.941 501.941 502.941 503.941 504.941 505.941 506.941 507.941 508.941 509.941 510.941 511.941 512.941 513.941 ","36.781 24.187 28.651 14.579 30.636 26.221 14.760 15.945 14.906 27.845 23.971 36.562 38.360 33.026 26.934 20.348 16.422 16.890 31.769 20.095 13.684 30.464 28.822 23.868 15.663 25.820 33.693 45.502 28.916 12.507 48.744 18.263 9.721 42.664 25.382 18.575 35.202 27.507 39.227 20.172 36.070 11.574 22.448 22.214 30.331 29.724 19.132 22.608 17.591 9.352 6.168 16.111 45.796 13.970 21.791 21.594 23.948 27.697 13.918 18.787 21.568 23.825 24.527 20.646 42.473 13.882 35.526 10.774 27.624 28.875 22.073 50.622 24.367 34.508 30.850 48.959 15.297 12.435 95.271 19.946 22.902 20.115 17.506 47.932 20.667 31.071 32.112 16.868 17.220 13.485 22.597 36.313 22.928 21.773 33.236 39.064 30.146 22.879 17.519 12.446 10.299 78.053 28.716 13.423 16.842 27.415 19.469 18.955 13.820 16.867 58.998 18.523 32.408 20.335 24.398 11.871 17.807 15.631 27.186 36.692 "
