date,timeset,start,difficult,feedbackthreshold,baseline,threshold,gametime,gametrigger,movetime,movetrigger,moveEnd,score,stop,time,data
9/7/2018 2:28:20 PM,60,1526.94,hard,0.5,0,1,"1531.250 ","1 ","1528.094 1528.938 1529.938 1530.629 1531.750 1532.469 1534.063 1535.156 1536.375 1538.500 1540.156 1541.188 1542.031 1543.500 1546.219 1546.844 1549.906 1550.816 1555.688 1560.313 1561.094 1566.594 1572.531 1573.313 1573.945 1578.156 1578.875 1582.031 1582.941 1583.969 1584.719 1585.875 1586.875 ","1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ","1528.281 1529.188 1530.094 1530.844 1531.906 1533.063 1534.281 1535.344 1536.844 1538.656 1540.344 1541.625 1542.344 1543.813 1546.344 1547.250 1550.125 1551.250 1555.906 1560.594 1561.438 1566.781 1572.813 1573.441 1574.344 1578.313 1579.188 1582.219 1583.188 1584.281 1585.156 1586.156 ",10,1586.94,"1527.504 1528.504 1529.504 1530.504 1531.504 1532.504 1533.504 1534.504 1535.504 1536.504 1537.504 1538.504 1539.504 1540.504 1541.504 1542.504 1543.504 1544.504 1545.504 1546.504 1547.504 1548.504 1549.504 1550.504 1551.504 1552.504 1553.504 1554.504 1555.504 1556.504 1557.504 1558.504 1559.504 1560.504 1561.504 1562.504 1563.504 1564.504 1565.504 1566.504 1567.504 1568.504 1569.504 1570.504 1571.504 1572.504 1573.504 1574.504 1575.504 1576.504 1577.504 1578.504 1579.504 1580.504 1581.504 1582.504 1583.504 1584.504 1585.504 1586.504 ","20.205 22.693 12.514 11.434 22.702 18.549 12.549 11.156 26.528 25.165 12.298 24.710 10.579 6.563 11.784 32.768 9.149 17.947 15.364 20.877 14.021 8.538 19.074 21.627 28.354 11.810 16.572 11.158 9.458 11.294 14.184 14.250 19.916 13.697 20.405 15.424 9.008 10.396 13.690 5.936 10.041 12.374 26.762 10.915 10.044 5.857 8.516 13.556 12.776 18.347 26.343 17.104 25.739 13.599 24.893 7.745 15.616 10.709 9.921 6.618 "
9/7/2018 2:30:07 PM,60,1634.00,easy,0.25,0,1,"1671.719 1682.781 1685.719 ","1 1 1 ","1528.094 1528.938 1529.938 1530.629 1531.750 1532.469 1534.063 1535.156 1536.375 1538.500 1540.156 1541.188 1542.031 1543.500 1546.219 1546.844 1549.906 1550.816 1555.688 1560.313 1561.094 1566.594 1572.531 1573.313 1573.945 1578.156 1578.875 1582.031 1582.941 1583.969 1584.719 1585.875 1586.875 1635.563 1670.281 1680.156 1684.094 1684.844 1685.563 ","1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 ","1528.281 1529.188 1530.094 1530.844 1531.906 1533.063 1534.281 1535.344 1536.844 1538.656 1540.344 1541.625 1542.344 1543.813 1546.344 1547.250 1550.125 1551.250 1555.906 1560.594 1561.438 1566.781 1572.813 1573.441 1574.344 1578.313 1579.188 1582.219 1583.188 1584.281 1585.156 1586.156 1635.781 1670.438 1680.375 1684.281 1685.125 1685.781 ",30,1694.00,"1634.504 1635.504 1636.504 1637.504 1638.504 1639.504 1640.504 1641.504 1642.504 1643.504 1644.504 1645.504 1646.504 1647.504 1648.504 1649.504 1650.504 1651.504 1652.504 1653.504 1654.504 1655.504 1656.504 1657.504 1658.504 1659.504 1660.504 1661.504 1662.504 1663.504 1664.504 1665.504 1666.504 1667.504 1668.504 1669.504 1670.504 1671.504 1672.504 1673.504 1674.504 1675.504 1676.504 1677.504 1678.504 1679.504 1680.504 1681.504 1682.504 1683.504 1684.504 1685.504 1686.504 1687.504 1688.504 1689.504 1690.504 1691.504 1692.504 1693.504 ","12.969 14.657 14.665 17.945 24.287 10.444 19.440 10.950 10.279 14.986 10.573 60.515 9.528 16.974 21.477 12.320 19.927 14.869 9.538 10.113 14.951 16.005 7.158 28.246 30.312 16.591 13.590 21.726 6.777 19.502 10.901 17.746 27.659 28.443 8.478 10.244 8.082 17.392 19.454 11.857 20.202 8.025 33.637 17.733 19.493 26.187 25.453 31.810 20.124 9.447 12.544 11.704 5.283 17.930 26.222 13.318 10.038 21.296 6.742 12.785 "
9/7/2018 2:31:53 PM,60,1739.57,easy,0.1,0,1,"1785.906 ","1 ","1528.094 1528.938 1529.938 1530.629 1531.750 1532.469 1534.063 1535.156 1536.375 1538.500 1540.156 1541.188 1542.031 1543.500 1546.219 1546.844 1549.906 1550.816 1555.688 1560.313 1561.094 1566.594 1572.531 1573.313 1573.945 1578.156 1578.875 1582.031 1582.941 1583.969 1584.719 1585.875 1586.875 1635.563 1670.281 1680.156 1684.094 1684.844 1685.563 1783.938 ","1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 ","1528.281 1529.188 1530.094 1530.844 1531.906 1533.063 1534.281 1535.344 1536.844 1538.656 1540.344 1541.625 1542.344 1543.813 1546.344 1547.250 1550.125 1551.250 1555.906 1560.594 1561.438 1566.781 1572.813 1573.441 1574.344 1578.313 1579.188 1582.219 1583.188 1584.281 1585.156 1586.156 1635.781 1670.438 1680.375 1684.281 1685.125 1685.781 1784.156 ",10,1799.57,"1740.504 1741.504 1742.504 1743.504 1744.504 1745.504 1746.504 1747.504 1748.504 1749.504 1750.504 1751.504 1752.504 1753.504 1754.504 1755.504 1756.504 1757.504 1758.504 1759.504 1760.504 1761.504 1762.504 1763.504 1764.504 1765.504 1766.504 1767.504 1768.504 1769.504 1770.504 1771.504 1772.504 1773.504 1774.504 1775.504 1776.504 1777.504 1778.504 1779.504 1780.504 1781.504 1782.504 1783.504 1784.504 1785.504 1786.504 1787.504 1788.504 1789.504 1790.504 1791.504 1792.504 1793.504 1794.504 1795.504 1796.504 1797.504 1798.504 1799.504 ","18.578 10.696 23.729 6.867 10.806 20.652 18.602 14.554 9.003 12.442 16.988 9.580 23.372 13.753 14.933 24.165 17.565 13.504 17.003 13.315 14.533 11.369 8.440 10.465 20.293 8.687 16.617 24.687 16.200 41.981 10.718 17.297 16.595 15.991 37.985 20.293 7.620 9.665 9.873 14.616 27.825 30.104 47.039 32.533 7.716 7.744 16.718 26.400 15.442 13.969 23.216 15.954 45.160 10.270 9.822 12.955 20.799 35.576 38.931 30.934 "
9/7/2018 2:48:33 PM,120,662.60,easy,0.5,25.75734,21.28423,"666.719 705.000 ","1 1 ","665.781 703.313 704.313 704.938 ","1 1 2 1 ","665.969 703.594 704.781 705.188 ",20,782.63,"662.816 663.816 664.816 665.816 666.816 667.816 668.816 669.816 670.816 671.816 672.816 673.816 674.816 675.816 676.816 677.816 678.816 679.816 680.816 681.816 682.816 683.816 684.816 685.816 686.816 687.816 688.816 689.816 690.816 691.816 692.816 693.816 694.816 695.816 696.816 697.816 698.816 699.816 700.816 701.816 702.816 703.816 704.816 705.816 706.816 707.816 708.816 709.816 710.816 711.816 712.816 713.816 714.816 715.816 716.816 717.816 718.816 719.816 720.816 721.816 722.816 723.816 724.816 725.816 726.816 727.816 728.816 729.816 730.816 731.816 732.816 733.816 734.816 735.816 736.816 737.816 738.816 739.816 740.816 741.816 742.816 743.816 744.816 745.816 746.816 747.816 748.816 749.816 750.816 751.816 752.816 753.816 754.816 755.816 756.816 757.816 758.816 759.816 760.816 761.816 762.816 763.816 764.816 765.816 766.816 767.816 768.816 769.816 770.816 771.816 772.816 773.816 774.816 775.816 776.816 777.816 778.816 779.816 780.816 781.816 ","39.277 40.980 10.411 23.306 17.721 19.806 39.192 18.344 22.025 13.719 29.905 12.299 13.827 38.170 11.275 12.902 18.777 32.933 24.451 52.692 11.068 25.996 30.856 11.713 21.465 32.385 27.034 26.806 18.596 17.239 9.191 19.894 16.546 15.904 25.208 40.947 25.280 48.531 64.118 27.467 35.239 17.121 28.508 30.328 50.303 14.629 39.165 15.252 16.468 23.574 29.783 30.769 22.907 26.102 15.722 15.388 17.011 13.103 20.645 21.200 8.823 11.105 6.928 24.807 44.567 30.385 22.728 20.389 59.366 22.995 29.348 22.060 19.451 35.123 19.909 16.851 9.734 19.623 27.785 41.607 13.321 24.154 14.340 17.577 11.665 14.942 21.433 46.885 25.800 20.615 17.668 12.924 16.499 30.866 30.322 10.289 12.251 26.941 32.358 19.308 18.652 29.922 28.319 31.313 75.322 27.221 28.763 33.121 53.534 54.879 34.635 35.327 9.629 38.870 26.866 9.085 17.434 24.584 13.675 15.424 "
9/7/2018 2:51:02 PM,120,811.91,easy,0.5,25.75734,21.28423,"817.094 819.063 823.125 827.500 829.563 831.438 848.719 866.406 875.594 884.375 886.313 913.531 916.094 ","1 1 1 1 1 1 1 1 1 1 1 1 1 ","665.781 703.313 704.313 704.938 815.789 816.969 821.414 822.563 824.125 825.500 827.344 828.719 830.531 846.969 848.531 865.188 873.844 874.406 874.906 875.500 876.406 882.652 911.813 931.656 ","1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 ","665.969 703.594 704.781 705.188 816.250 817.188 821.906 822.969 824.375 825.875 827.531 828.969 830.813 847.531 848.688 865.344 874.063 874.594 875.094 875.699 876.656 882.813 912.094 ",130,931.91,"812.816 813.816 814.816 815.816 816.816 817.816 818.816 819.816 820.816 821.816 822.816 823.816 824.816 825.816 826.816 827.816 828.816 829.816 830.816 831.816 832.816 833.816 834.816 835.816 836.816 837.816 838.816 839.816 840.816 841.816 842.816 843.816 844.816 845.816 846.816 847.816 848.816 849.816 850.816 851.816 852.816 853.816 854.816 855.816 856.816 857.816 858.816 859.816 860.816 861.816 862.816 863.816 864.816 865.816 866.816 867.816 868.816 869.816 870.816 871.816 872.816 873.816 874.816 875.816 876.816 877.816 878.816 879.816 880.816 881.816 882.816 883.816 884.816 885.816 886.816 887.816 888.816 889.816 890.816 891.816 892.816 893.816 894.816 895.816 896.816 897.816 898.816 899.816 900.816 901.816 902.816 903.816 904.816 905.816 906.816 907.816 908.816 909.816 910.816 911.816 912.816 913.816 914.816 915.816 916.816 917.816 918.816 919.816 920.816 921.816 922.816 923.816 924.816 925.816 926.816 927.816 928.816 929.816 930.816 931.816 ","47.034 29.504 28.094 75.175 14.911 31.663 41.400 64.646 19.545 31.920 20.158 41.703 40.037 44.157 33.350 48.417 28.426 36.792 34.646 26.425 41.169 19.056 25.790 28.634 10.693 6.850 21.115 45.960 27.774 51.993 7.683 29.433 78.415 43.817 15.929 14.029 24.170 31.757 25.876 44.675 17.089 31.976 31.006 18.696 45.855 19.690 33.969 11.437 37.513 21.421 38.669 44.999 27.742 36.043 23.483 31.737 14.873 18.768 14.536 62.214 28.875 32.753 26.828 16.228 24.917 30.104 23.785 33.414 42.064 42.778 34.279 28.510 19.260 21.036 11.357 37.109 38.437 71.905 13.107 23.470 10.811 29.682 31.886 23.119 22.696 9.200 32.925 22.480 45.622 7.137 27.812 20.220 49.290 15.729 21.163 45.067 33.348 31.438 16.247 51.501 25.849 22.632 25.927 30.635 32.021 15.152 17.215 32.752 32.883 41.282 21.188 8.028 13.237 25.632 27.298 14.408 14.929 42.066 35.009 23.092 "
9/7/2018 2:54:57 PM,120,1047.10,hard,0.5,25.75734,21.28423,"1057.219 1061.219 1068.281 1069.219 1073.469 1074.781 1083.781 1088.031 1097.625 1103.563 1106.656 1111.188 1117.406 1119.188 1120.281 1126.063 1135.438 1135.688 1137.500 1143.750 ","1 1 -1 1 1 1 1 -1 1 1 1 1 1 1 1 -1 1 -1 1 1 ","665.781 703.313 704.313 704.938 815.789 816.969 821.414 822.563 824.125 825.500 827.344 828.719 830.531 846.969 848.531 865.188 873.844 874.406 874.906 875.500 876.406 882.652 911.813 931.656 1048.563 1050.594 1055.781 1056.969 1060.531 1061.781 1064.156 1065.031 1065.594 1066.250 1067.500 1067.813 1068.219 1069.563 1070.438 1072.281 1073.191 1073.688 1074.719 1076.156 1080.156 1081.250 1082.625 1085.438 1087.563 1088.688 1089.313 1090.531 1093.438 1095.906 1096.594 1098.094 1099.406 1099.781 1100.156 1103.563 1105.063 1106.375 1110.688 1111.594 1112.000 1112.594 1113.250 1115.500 1116.469 1117.473 1117.781 1119.000 1119.875 1120.625 1121.563 1124.344 1127.688 1128.219 1129.594 1130.875 1132.125 1133.688 1134.906 1135.406 1136.313 1137.258 1138.090 1138.813 1140.688 1142.590 1143.625 1144.594 1147.625 1152.344 1152.969 1154.906 1155.938 1158.563 1163.313 1165.500 1165.813 ","1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 2 2 2 2 1 1 1 2 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 1 2 1 2 1 ","665.969 703.594 704.781 705.188 816.250 817.188 821.906 822.969 824.375 825.875 827.531 828.969 830.813 847.531 848.688 865.344 874.063 874.594 875.094 875.699 876.656 882.813 912.094 1048.691 1050.688 1055.906 1057.219 1061.219 1062.094 1064.375 1065.313 1066.156 1067.156 1067.750 1068.188 1068.844 1070.094 1071.031 1072.469 1073.469 1074.000 1074.969 1076.500 1080.434 1081.500 1082.844 1085.625 1088.250 1089.063 1089.563 1091.000 1093.781 1096.219 1096.844 1098.406 1099.563 1099.969 1100.625 1104.031 1105.656 1106.625 1111.250 1112.000 1112.219 1113.063 1113.625 1116.125 1116.719 1117.750 1118.469 1119.219 1120.313 1120.781 1122.000 1124.789 1127.941 1128.531 1129.844 1131.281 1132.313 1133.844 1135.156 1135.906 1136.938 1137.750 1138.250 1139.336 1141.344 1143.094 1143.906 1144.969 1148.219 1152.500 1153.281 1155.250 1156.313 1158.844 1163.594 1165.656 1166.375 ",120,1167.10,"1047.816 1048.816 1049.816 1050.816 1051.816 1052.816 1053.816 1054.816 1055.816 1056.816 1057.816 1058.816 1059.816 1060.816 1061.816 1062.816 1063.816 1064.816 1065.816 1066.816 1067.816 1068.816 1069.816 1070.816 1071.816 1072.816 1073.816 1074.816 1075.816 1076.816 1077.816 1078.816 1079.816 1080.816 1081.816 1082.816 1083.816 1084.816 1085.816 1086.816 1087.816 1088.816 1089.816 1090.816 1091.816 1092.816 1093.816 1094.816 1095.816 1096.816 1097.816 1098.816 1099.816 1100.816 1101.816 1102.816 1103.816 1104.816 1105.816 1106.816 1107.816 1108.816 1109.816 1110.816 1111.816 1112.816 1113.816 1114.816 1115.816 1116.816 1117.816 1118.816 1119.816 1120.816 1121.816 1122.816 1123.816 1124.816 1125.816 1126.816 1127.816 1128.816 1129.816 1130.816 1131.816 1132.816 1133.816 1134.816 1135.816 1136.816 1137.816 1138.816 1139.816 1140.816 1141.816 1142.816 1143.816 1144.816 1145.816 1146.816 1147.816 1148.816 1149.816 1150.816 1151.816 1152.816 1153.816 1154.816 1155.816 1156.816 1157.816 1158.816 1159.816 1160.816 1161.816 1162.816 1163.816 1164.816 1165.816 1166.816 ","22.203 57.064 14.204 9.918 26.831 46.164 39.860 48.872 41.559 16.307 21.879 23.736 15.748 15.934 34.112 19.359 30.149 31.623 36.218 21.225 35.415 127.236 182.597 75.659 82.057 21.540 15.349 30.487 9.339 20.249 8.156 34.421 36.105 15.260 34.591 24.717 26.116 17.379 14.073 31.993 13.202 32.035 21.926 14.840 24.472 30.551 40.539 18.947 64.839 20.954 28.313 25.087 53.938 40.789 46.026 41.058 14.794 38.340 19.547 11.020 69.180 35.320 18.503 34.754 52.774 32.901 41.690 33.206 35.405 40.648 40.114 84.752 13.093 30.689 21.148 24.268 22.841 35.792 21.878 85.456 33.672 14.832 15.714 41.667 61.411 22.778 34.600 34.425 34.377 23.864 26.974 30.724 40.683 21.677 31.456 23.704 39.989 23.406 40.254 23.500 20.913 22.294 40.843 18.798 29.508 21.809 15.906 27.532 35.603 26.949 11.580 20.899 30.495 10.276 18.522 41.975 35.164 51.232 54.216 61.044 "
