date,timeset,start,average,stop,time,data
9/14/2018 10:33:47 AM,190,158.63,95.6814,348.63,"159.598 160.598 161.598 162.598 163.598 164.598 165.598 166.598 167.598 168.598 169.598 170.598 171.598 172.598 173.598 174.598 175.598 176.598 177.598 178.598 179.598 180.598 181.598 182.598 183.598 184.598 185.598 186.598 187.598 188.598 189.598 190.598 191.598 192.598 193.598 194.598 195.598 196.598 197.598 198.598 199.598 200.598 201.598 202.598 203.598 204.598 205.598 206.598 207.598 208.598 209.598 210.598 211.598 212.598 213.598 214.598 215.598 216.598 217.598 218.598 219.598 220.598 221.598 222.598 223.598 224.598 225.598 226.598 227.598 228.598 229.598 230.598 231.598 232.598 233.598 234.598 235.598 236.598 237.598 238.598 239.598 240.598 241.598 242.598 243.598 244.598 245.598 246.598 247.598 248.598 249.598 250.598 251.598 252.598 253.598 254.598 255.598 256.598 257.598 258.598 259.598 260.598 261.598 262.598 263.598 264.598 265.598 266.598 267.598 268.598 269.598 270.598 271.598 272.598 273.598 274.598 275.598 276.598 277.598 278.598 279.598 280.598 281.598 282.598 283.598 284.598 285.598 286.598 287.598 288.598 289.598 290.598 291.598 292.598 293.598 294.598 295.598 296.598 297.598 298.598 299.598 300.598 301.598 302.598 303.598 304.598 305.598 306.598 307.598 308.598 309.598 310.598 311.598 312.598 313.598 314.598 315.598 316.598 317.598 318.598 319.598 320.598 321.598 322.598 323.598 324.598 325.598 326.598 327.598 328.598 329.598 330.598 331.598 332.598 333.598 334.598 335.598 336.598 337.598 338.598 339.598 340.598 341.598 342.598 343.598 344.598 345.598 346.598 347.598 348.598 ","391.827 166.185 30.875 3.643 888.670 150.177 47.586 4.602 19.902 32.340 73.981 142.905 0.012 505.421 125.709 0.643 153.134 37.751 13.159 87.304 4.614 194.412 0.265 198.805 15.232 0.720 112.132 58.517 226.941 6.241 82.418 3.171 67.729 22.521 16.570 91.995 26.308 4.363 825.393 139.101 43.438 7.112 17.024 1.255 2.313 26.471 70.052 22.227 137.727 344.971 110.903 28.015 6.266 9.325 3.174 50.529 11.206 90.987 2.226 37.397 137.286 37.023 1.096 46.710 84.909 5.971 15.976 108.773 106.607 66.803 0.887 4.947 0.357 123.873 99.722 5.476 75.631 729.900 182.728 34.709 7.651 49.386 0.291 0.097 85.875 87.161 59.077 37.720 0.088 102.573 101.305 4.722 13.450 7.716 201.739 33.965 45.469 34.899 122.626 18.590 40.155 49.592 4.052 163.625 65.710 33.613 23.541 1.261 10.600 59.547 49.816 717.349 0.614 73.451 346.140 28.808 80.254 498.036 18.985 331.909 12.690 558.777 358.676 12.130 245.897 1.923 82.563 14.616 121.657 328.061 74.200 375.343 58.745 83.897 32.622 28.495 57.995 25.287 130.499 5.774 38.078 35.866 57.991 281.220 163.511 4.269 41.346 32.559 229.626 1.220 52.808 32.896 15.579 157.797 1.543 236.695 178.410 72.206 156.313 212.031 25.971 30.767 48.817 6.994 1.210 115.386 3.157 95.585 142.630 85.077 36.739 28.653 10.589 5.462 2.261 124.957 55.901 183.278 128.018 15.789 190.779 134.346 79.637 181.957 52.793 65.813 65.310 126.819 0.258 0.036 "
9/14/2018 10:51:07 AM,10,64.10,138.7215,74.10,"64.910 65.910 66.910 67.910 68.910 69.910 70.910 71.910 72.910 73.910 ","122.783 124.531 100.598 83.598 135.142 217.285 98.671 187.597 218.544 106.486 "
9/14/2018 10:51:38 AM,70,95.35,159.4556,165.38,"95.910 96.910 97.910 98.910 99.910 100.910 101.910 102.910 103.910 104.910 105.910 106.910 107.910 108.910 109.910 110.910 111.910 112.910 113.910 114.910 115.910 116.910 117.910 118.910 119.910 120.910 121.910 122.910 123.910 124.910 125.910 126.910 127.910 128.910 129.910 130.910 131.910 132.910 133.910 134.910 135.910 136.910 137.910 138.910 139.910 140.910 141.910 142.910 143.910 144.910 145.910 146.910 147.910 148.910 149.910 150.910 151.910 152.910 153.910 154.910 155.910 156.910 157.910 158.910 159.910 160.910 161.910 162.910 163.910 164.910 ","96.309 165.808 168.829 159.008 208.314 218.848 167.272 152.554 185.323 253.739 132.656 116.004 298.369 322.439 134.835 356.040 643.692 247.285 103.576 244.283 194.329 116.467 109.813 115.192 138.224 106.098 157.678 127.350 102.162 122.310 95.098 123.957 144.412 86.935 93.479 102.075 111.951 118.850 104.482 149.797 193.655 215.967 105.417 114.897 243.333 143.514 151.844 145.837 89.913 122.473 81.251 168.766 135.355 121.170 132.904 233.091 209.037 115.038 194.191 215.948 152.157 84.932 89.955 110.969 132.096 123.797 137.513 137.679 147.262 118.128 "
