average,date,timeset,start,difficult,scale,baseline,threshold,gametime,gametrigger,score,stop,time,data
0,8/10/2018 3:54:54 PM,60,532.35,1,0.5,11.30461,7.895438,536.375 536.781 539.625 546.219 547.781 551.438 562.844 565.281 567.031 569.500 573.469 581.000 582.000 583.938,1.000 2.0002.0001.000 1.000 1.000 1.000 2.0001.000 2.0002.0001.000 2.0002.000,0,592.35,533.066 534.066 535.066 536.066 537.066 538.066 539.066 540.066 541.066 542.066 543.066 544.066 545.066 546.066 547.066 548.066 549.066 550.066 551.066 552.066 553.066 554.066 555.066 556.066 557.066 558.066 559.066 560.066 561.066 562.066 563.066 564.066 565.066 566.066 567.066 568.066 569.066 570.066 571.066 572.066 573.066 574.066 575.066 576.066 577.066 578.066 579.066 580.066 581.066 582.066 583.066 584.066 585.066 586.066 587.066 588.066 589.066 590.066 591.066 592.066,4.475 6.064 5.218 3.838 16.236 9.269 3.186 16.740 7.384 9.005 10.383 6.416 30.000 6.088 3.463 11.991 23.798 7.445 11.599 2.693 7.291 11.059 7.799 11.074 4.383 11.302 3.308 3.640 5.224 4.583 12.378 7.081 3.811 9.306 3.563 12.945 8.289 5.644 3.749 4.648 5.352 17.230 4.210 4.960 5.791 6.467 2.501 4.011 4.026 9.979 9.100 10.062 3.535 13.641 9.826 14.190 2.645 4.878 6.841 6.756
8/10/2018 3:56:16 PM,300,614.29,1,0.5,11.30461,7.895438,619.313 622.000 625.031 627.563 630.813 633.719 639.469 651.156 659.906 665.688 670.750 678.594 679.375 682.844 684.281 686.313 689.219 695.625 695.875 699.094 702.188 707.375 716.059 716.750 719.063 720.969 745.844 747.625 753.594 754.688 762.594 762.969 764.219 774.281 775.375 783.148 793.375 800.434 802.656 808.094 808.813 809.531 814.125 815.469 816.656 818.688 821.500 825.688 830.500 831.938 836.531 842.813 843.906 844.500 845.188 854.969 865.938 874.563 878.094 884.844 892.750 894.375 899.781 904.188 910.406,2.0002.0002.0002.0002.0001.000 2.0002.0001.000 2.0002.0001.000 2.0002.0002.0002.0002.0001.000 2.0001.000 2.0002.0002.0002.0002.0001.000 1.000 2.0002.0002.0001.000 1.000 2.0002.0002.0002.0001.000 2.0002.0001.000 2.0002.0001.000 1.000 2.0002.0002.0002.0002.0002.0002.0001.000 2.0002.0002.0002.0002.0002.0002.0002.0001.000 2.0002.0002.0002.000,350,914.25,615.066 616.066 617.066 618.066 619.066 620.066 621.066 622.066 623.066 624.066 625.066 626.066 627.066 628.066 629.066 630.066 631.066 632.066 633.066 634.066 635.066 636.066 637.066 638.066 639.066 640.066 641.066 642.066 643.066 644.066 645.066 646.066 647.066 648.066 649.066 650.066 651.066 652.066 653.066 654.066 655.066 656.066 657.066 658.066 659.066 660.066 661.066 662.066 663.066 664.066 665.066 666.066 667.066 668.066 669.066 670.066 671.066 672.066 673.066 674.066 675.066 676.066 677.066 678.066 679.066 680.066 681.066 682.066 683.066 684.066 685.066 686.066 687.066 688.066 689.066 690.066 691.066 692.066 693.066 694.066 695.066 696.066 697.066 698.066 699.066 700.066 701.066 702.066 703.066 704.066 705.066 706.066 707.066 708.066 709.066 710.066 711.066 712.066 713.066 714.066 715.066 716.066 717.066 718.066 719.066 720.066 721.066 722.066 723.066 724.066 725.066 726.066 727.066 728.066 729.066 730.066 731.066 732.066 733.066 734.066 735.066 736.066 737.066 738.066 739.066 740.066 741.066 742.066 743.066 744.066 745.066 746.066 747.066 748.066 749.066 750.066 751.066 752.066 753.066 754.066 755.066 756.066 757.066 758.066 759.066 760.066 761.066 762.066 763.066 764.066 765.066 766.066 767.066 768.066 769.066 770.066 771.066 772.066 773.066 774.066 775.066 776.066 777.066 778.066 779.066 780.066 781.066 782.066 783.066 784.066 785.066 786.066 787.066 788.066 789.066 790.066 791.066 792.066 793.066 794.066 795.066 796.066 797.066 798.066 799.066 800.066 801.066 802.066 803.066 804.066 805.066 806.066 807.066 808.066 809.066 810.066 811.066 812.066 813.066 814.066 815.066 816.066 817.066 818.066 819.066 820.066 821.066 822.066 823.066 824.066 825.066 826.066 827.066 828.066 829.066 830.066 831.066 832.066 833.066 834.066 835.066 836.066 837.066 838.066 839.066 840.066 841.066 842.066 843.066 844.066 845.066 846.066 847.066 848.066 849.066 850.066 851.066 852.066 853.066 854.066 855.066 856.066 857.066 858.066 859.066 860.066 861.066 862.066 863.066 864.066 865.066 866.066 867.066 868.066 869.066 870.066 871.066 872.066 873.066 874.066 875.066 876.066 877.066 878.066 879.066 880.066 881.066 882.066 883.066 884.066 885.066 886.066 887.066 888.066 889.066 890.066 891.066 892.066 893.066 894.066 895.066 896.066 897.066 898.066 899.066 900.066 901.066 902.066 903.066 904.066 905.066 906.066 907.066 908.066 909.066 910.066 911.066 912.066 913.066 914.066,5.034 9.292 6.395 7.129 4.806 8.268 4.090 5.894 4.661 6.009 4.953 4.388 5.274 4.268 7.562 4.398 7.914 6.013 8.056 12.218 4.521 6.126 7.187 6.493 7.957 9.294 5.231 9.145 3.636 6.113 11.671 6.935 7.648 5.683 3.853 9.208 5.957 10.476 6.976 12.551 15.004 11.302 4.013 5.828 8.507 3.784 9.913 9.151 5.136 3.187 11.768 4.534 8.572 4.892 9.973 10.023 3.262 2.649 4.328 4.765 10.354 3.896 2.892 5.881 5.685 3.823 3.691 4.594 5.856 7.858 3.958 7.714 5.790 8.517 10.619 6.109 5.029 7.936 7.874 8.124 2.433 13.403 9.295 6.778 3.450 9.647 9.810 8.238 7.620 5.321 8.386 4.506 6.233 8.336 3.222 6.840 6.514 5.236 3.996 5.076 3.030 4.297 6.866 5.518 3.346 11.197 8.644 7.092 7.319 10.643 8.284 10.863 6.681 10.114 12.904 30.000 7.736 11.325 10.023 7.083 4.960 1.945 28.316 23.820 11.192 7.247 6.633 10.481 5.482 4.805 2.185 5.436 10.454 6.239 5.653 8.431 3.848 3.784 5.161 8.440 7.236 9.678 4.586 10.313 6.899 6.683 6.351 8.764 8.401 10.294 7.806 4.529 9.894 6.997 4.146 4.716 1.849 5.145 7.374 12.053 5.497 9.578 6.557 9.842 6.750 4.109 8.779 2.821 12.195 13.302 5.218 6.393 22.770 12.056 2.916 6.187 7.658 10.546 6.556 11.355 5.268 6.672 4.995 10.149 6.555 4.249 7.621 6.093 6.823 6.563 4.761 5.713 4.192 9.906 6.959 8.116 7.243 6.093 1.735 3.776 5.866 7.913 9.390 8.176 4.694 6.647 9.915 5.096 6.429 6.245 2.962 7.830 6.441 4.198 3.956 4.510 11.280 7.635 7.725 5.606 7.085 3.806 4.735 6.876 6.505 4.460 3.435 5.926 7.673 10.022 3.407 11.475 9.442 5.253 19.631 6.155 8.201 7.961 7.053 6.251 10.295 11.908 4.768 9.651 16.076 4.763 5.739 4.290 12.103 5.927 7.761 12.184 9.503 8.225 10.496 3.634 6.098 6.977 4.238 7.331 6.552 6.157 4.410 15.418 9.457 4.777 3.916 7.673 8.972 11.133 5.547 5.009 9.606 3.860 9.557 2.523 9.312 3.669 5.788 11.320 3.896 4.853 5.673 3.728 12.341 6.199 6.338 4.151 8.121 6.925 5.328 6.935 6.627 8.510 6.551 14.955 12.748 6.644 6.004 8.898
8/10/2018 4:28:29 PM,60,227.04,1,0.5,10.29408,9.096498,250.031 252.906 258.813 271.594,1.0001.0001.0001.000,-40,287.04,227.848 228.848 229.848 230.848 231.848 232.848 233.848 234.848 235.848 236.848 237.848 238.848 239.848 240.848 241.848 242.848 243.848 244.848 245.848 246.848 247.848 248.848 249.848 250.848 251.848 252.848 253.848 254.848 255.848 256.848 257.848 258.848 259.848 260.848 261.848 262.848 263.848 264.848 265.848 266.848 267.848 268.848 269.848 270.848 271.848 272.848 273.848 274.848 275.848 276.848 277.848 278.848 279.848 280.848 281.848 282.848 283.848 284.848 285.848 286.848,9.925 9.814 7.716 6.540 6.167 2.397 3.574 5.535 13.542 8.506 17.969 30.000 4.355 3.924 3.668 3.198 4.349 13.440 5.381 6.593 3.842 9.374 9.084 9.364 6.604 6.996 3.358 4.057 4.563 12.295 8.032 3.586 13.843 7.116 16.352 14.771 6.269 2.627 11.175 7.096 17.810 10.906 5.145 7.225 6.426 8.108 5.046 6.453 4.890 4.367 9.472 10.537 9.744 8.169 5.833 4.482 4.112 5.052 5.142 8.140
