date,timeset,start,average,stop,time,data
8/2/2018 10:53:23 AM,60,132.66,12.97668,192.66,132.660 133.660 134.660 135.660 136.660 137.660 138.660 139.660 140.660 141.660 142.660 143.660 144.660 145.660 146.660 147.660 148.660 149.660 150.660 151.660 152.660 153.660 154.660 155.660 156.660 157.660 158.660 159.660 160.660 161.660 162.660 163.660 164.660 165.660 166.660 167.660 168.660 169.660 170.660 171.660 172.660 173.660 174.660 175.660 176.660 177.660 178.660 179.660 180.660 181.660 182.660 183.660 184.660 185.660 186.660 187.660 188.660 189.660 190.660 191.660,9.438 10.007 4.010 22.656 19.648 11.192 17.809 15.719 13.033 10.695 7.528 8.456 15.582 20.565 12.280 10.695 19.526 16.287 21.497 11.244 6.701 14.640 10.586 9.616 11.215 9.519 11.445 13.283 9.302 5.467 10.624 10.467 21.434 14.946 17.317 13.333 8.461 7.540 5.910 12.846 3.863 15.991 8.622 12.620 12.402 16.920 15.976 21.048 7.227 13.805 24.947 16.108 14.953 16.429 14.464 14.201 20.315 13.109 6.830 10.506
8/2/2018 11:30:37 AM,60,296.41,12.29162,356.44,297.285 298.285 299.285 300.285 301.285 302.285 303.285 304.285 305.285 306.285 307.285 308.285 309.285 310.285 311.285 312.285 313.285 314.285 315.285 316.285 317.285 318.285 319.285 320.285 321.285 322.285 323.285 324.285 325.285 326.285 327.285 328.285 329.285 330.285 331.285 332.285 333.285 334.285 335.285 336.285 337.285 338.285 339.285 340.285 341.285 342.285 343.285 344.285 345.285 346.285 347.285 348.285 349.285 350.285 351.285 352.285 353.285 354.285 355.285 356.285,15.520 9.057 8.849 15.147 8.766 9.454 12.562 5.378 8.530 22.006 12.252 7.536 12.480 11.778 5.056 9.426 9.991 9.746 8.307 21.675 15.283 25.000 11.324 24.732 3.911 8.693 7.517 11.492 4.494 14.702 10.024 12.118 15.566 12.129 16.175 10.787 16.078 10.375 6.227 12.636 13.641 14.346 23.481 7.190 18.651 16.373 16.758 20.688 17.015 7.369 12.837 15.567 5.090 12.395 13.216 9.432 12.387 10.594 6.472 11.687
