date,timeset,start,stop,time,data
8/10/2018 11:20:24 AM,120,114.79,234.79,115.660 116.660 117.660 118.660 119.660 120.660 121.660 122.660 123.660 124.660 125.660 126.660 127.660 128.660 129.660 130.660 131.660 132.660 133.660 134.660 135.660 136.660 137.660 138.660 139.660 140.660 141.660 142.660 143.660 144.660 145.660 146.660 147.660 148.660 149.660 150.660 151.660 152.660 153.660 154.660 155.660 156.660 157.660 158.660 159.660 160.660 161.660 162.660 163.660 164.660 165.660 166.660 167.660 168.660 169.660 170.660 171.660 172.660 173.660 174.660 175.660 176.660 177.660 178.660 179.660 180.660 181.660 182.660 183.660 184.660 185.660 186.660 187.660 188.660 189.660 190.660 191.660 192.660 193.660 194.660 195.660 196.660 197.660 198.660 199.660 200.660 201.660 202.660 203.660 204.660 205.660 206.660 207.660 208.660 209.660 210.660 211.660 212.660 213.660 214.660 215.660 216.660 217.660 218.660 219.660 220.660 221.660 222.660 223.660 224.660 225.660 226.660 227.660 228.660 229.660 230.660 231.660 232.660 233.660 234.660,6.823 7.908 7.433 2.940 4.523 6.277 7.297 6.354 4.921 7.049 9.102 4.448 6.887 7.363 5.877 6.720 9.867 6.995 11.318 3.488 9.744 5.864 8.543 10.205 3.868 6.442 16.966 10.613 3.817 5.486 4.809 24.124 12.814 4.827 11.030 6.822 3.218 3.849 4.010 8.891 4.261 2.392 10.354 5.891 8.702 10.208 12.043 7.065 20.147 23.604 2.808 6.269 3.919 4.636 4.225 12.092 8.524 3.973 3.016 3.670 14.819 11.802 6.093 6.412 8.392 5.315 4.806 10.012 9.992 16.123 12.642 4.209 8.050 7.495 12.512 6.974 12.057 7.050 18.554 3.681 7.887 30.000 17.524 7.118 16.532 30.000 30.000 11.962 10.678 7.613 13.198 5.786 4.844 4.958 9.566 4.918 7.248 11.074 11.052 5.535 8.351 10.092 7.944 5.873 5.307 7.164 5.315 5.113 14.671 2.815 9.586 7.689 10.386 6.894 13.987 2.346 4.086 14.586 10.125 10.423
8/10/2018 11:58:38 AM,120,42.72,162.72,42.973 43.973 44.973 45.973 46.973 47.973 48.973 49.973 50.973 51.973 52.973 53.973 54.973 55.973 56.973 57.973 58.973 59.973 60.973 61.973 62.973 63.973 64.973 65.973 66.973 67.973 68.973 69.973 70.973 71.973 72.973 73.973 74.973 75.973 76.973 77.973 78.973 79.973 80.973 81.973 82.973 83.973 84.973 85.973 86.973 87.973 88.973 89.973 90.973 91.973 92.973 93.973 94.973 95.973 96.973 97.973 98.973 99.973 100.973 101.973 102.973 103.973 104.973 105.973 106.973 107.973 108.973 109.973 110.973 111.973 112.973 113.973 114.973 115.973 116.973 117.973 118.973 119.973 120.973 121.973 122.973 123.973 124.973 125.973 126.973 127.973 128.973 129.973 130.973 131.973 132.973 133.973 134.973 135.973 136.973 137.973 138.973 139.973 140.973 141.973 142.973 143.973 144.973 145.973 146.973 147.973 148.973 149.973 150.973 151.973 152.973 153.973 154.973 155.973 156.973 157.973 158.973 159.973 160.973 161.973,8.992 18.589 5.097 7.631 9.457 4.125 5.225 4.312 3.167 4.442 6.499 9.332 3.985 7.804 5.147 5.545 5.019 3.632 5.639 11.033 9.081 11.925 2.443 5.089 4.813 8.545 6.875 5.264 12.453 12.674 30.000 19.217 15.395 30.000 5.587 5.906 9.782 9.671 7.333 13.636 6.424 8.479 16.269 7.486 7.256 10.214 6.211 12.843 3.820 9.777 9.306 6.436 19.057 5.395 6.980 3.492 10.783 11.766 15.386 16.515 30.000 28.086 18.326 20.536 5.877 21.710 3.168 15.004 8.510 6.684 5.991 16.369 9.176 30.000 30.000 8.383 10.335 19.073 16.866 28.554 7.675 8.097 9.460 15.532 16.339 11.378 8.957 20.605 13.468 7.066 11.104 13.418 3.828 9.587 5.766 14.018 4.685 10.369 4.309 9.017 4.645 6.643 11.604 15.259 9.365 7.591 8.516 4.081 4.554 6.427 7.318 5.498 5.600 10.899 6.560 10.047 30.000 7.099 4.868 6.467
8/10/2018 12:12:28 PM,60,34.32,94.35,34.785 35.785 36.785 37.785 38.785 39.785 40.785 41.785 42.785 43.785 44.785 45.785 46.785 47.785 48.785 49.785 50.785 51.785 52.785 53.785 54.785 55.785 56.785 57.785 58.785 59.785 60.785 61.785 62.785 63.785 64.785 65.785 66.785 67.785 68.785 69.785 70.785 71.785 72.785 73.785 74.785 75.785 76.785 77.785 78.785 79.785 80.785 81.785 82.785 83.785 84.785 85.785 86.785 87.785 88.785 89.785 90.785 91.785 92.785 93.785,8.502 11.970 5.433 9.792 4.280 8.634 5.975 3.869 11.366 1.983 5.957 4.402 8.541 14.413 5.384 11.848 4.465 30.000 30.000 30.000 13.829 6.856 11.179 3.810 6.947 8.703 8.901 6.287 10.680 3.340 2.690 5.646 6.591 5.099 4.494 7.197 4.755 30.000 5.610 5.962 10.728 4.456 4.690 9.483 8.805 4.125 2.997 3.999 7.037 5.365 6.393 9.457 4.074 3.012 7.687 6.043 7.608 6.589 8.745 5.393
8/10/2018 12:32:44 PM,1,518.94,519.94,519.160,6.842
8/10/2018 12:32:53 PM,60,528.07,588.07,528.160 529.160 530.160 531.160 532.160 533.160 534.160 535.160 536.160 537.160 538.160 539.160 540.160 541.160 542.160 543.160 544.160 545.160 546.160 547.160 548.160 549.160 550.160 551.160 552.160 553.160 554.160 555.160 556.160 557.160 558.160 559.160 560.160 561.160 562.160 563.160 564.160 565.160 566.160 567.160 568.160 569.160 570.160 571.160 572.160 573.160 574.160 575.160 576.160 577.160 578.160 579.160 580.160 581.160 582.160 583.160 584.160 585.160 586.160 587.160,8.394 6.703 6.692 7.659 3.855 3.967 6.313 3.499 4.531 6.007 11.701 10.295 4.703 6.709 7.405 9.488 8.041 12.952 7.006 10.485 7.425 3.912 4.906 7.026 16.032 7.483 4.164 17.606 3.405 5.677 13.618 18.197 9.244 11.196 6.062 20.158 5.872 24.140 8.995 14.854 8.545 15.146 13.522 14.087 14.533 9.827 30.000 13.063 5.796 5.181 12.248 15.351 30.000 20.068 19.039 17.134 13.913 5.186 3.795 10.097
