average,date,timeset,start,FocusingTime,stop,time,data
0,8/10/2018 11:45:48 AM,180,1638.22,1648.875 1650.219 1650.375 1650.379 1650.500 1650.531 1650.688 1650.719 1650.813 1650.813 1650.898 1650.906 1651.000 1651.031 1659.094 1659.875 1660.125 1660.125 1660.438 1660.469 1660.656 1660.660 1660.875 1660.910 1667.063 1667.969 1668.156 1668.188 1668.438 1668.469 1668.656 1668.656 1668.813 1668.844 1668.969 1669.000,1669.04,1638.473 1639.473 1640.473 1641.473 1642.473 1643.473 1644.473 1645.473 1646.473 1647.473 1648.473 1649.473 1650.473 1651.473 1652.473 1653.473 1654.473 1655.473 1656.473 1657.473 1658.473 1659.473 1660.473 1661.473 1662.473 1663.473 1664.473 1665.473 1666.473 1667.473 1668.473,22.505 23.235 9.499 6.173 3.691 7.929 4.899 13.638 19.311 5.652 10.659 5.761 5.764 7.049 5.574 5.780 18.704 4.232 6.116 5.509 10.218 10.020 8.036 15.049 11.039 9.069 5.456 11.026 5.326 8.063 7.620
0,8/10/2018 12:03:23 PM,60,327.69,,330.69,328.473 329.473 330.473,8.543 7.518 13.353
