date,timeset,start,average,stop,time,data
8/10/2018 11:10:56 AM,None,10.54,18.34266,20.66,10.629 11.629 12.629 13.629 14.629 15.629 16.629 17.629 18.629 19.629 20.629,19.161 16.203 9.778 19.575 19.430 21.660 30.000 8.760 19.154 10.818 24.758
8/10/2018 11:22:33 AM,120,243.25,7.964402,363.25,243.660 244.660 245.660 246.660 247.660 248.660 249.660 250.660 251.660 252.660 253.660 254.660 255.660 256.660 257.660 258.660 259.660 260.660 261.660 262.660 263.660 264.660 265.660 266.660 267.660 268.660 269.660 270.660 271.660 272.660 273.660 274.660 275.660 276.660 277.660 278.660 279.660 280.660 281.660 282.660 283.660 284.660 285.660 286.660 287.660 288.660 289.660 290.660 291.660 292.660 293.660 294.660 295.660 296.660 297.660 298.660 299.660 300.660 301.660 302.660 303.660 304.660 305.660 306.660 307.660 308.660 309.660 310.660 311.660 312.660 313.660 314.660 315.660 316.660 317.660 318.660 319.660 320.660 321.660 322.660 323.660 324.660 325.660 326.660 327.660 328.660 329.660 330.660 331.660 332.660 333.660 334.660 335.660 336.660 337.660 338.660 339.660 340.660 341.660 342.660 343.660 344.660 345.660 346.660 347.660 348.660 349.660 350.660 351.660 352.660 353.660 354.660 355.660 356.660 357.660 358.660 359.660 360.660 361.660 362.660,10.566 3.593 5.357 7.823 9.856 10.415 11.331 7.348 5.449 10.587 9.593 4.963 8.183 6.469 4.261 4.847 5.605 3.700 2.873 5.067 10.509 7.024 4.648 7.308 4.628 8.815 5.846 3.515 5.395 3.708 5.560 6.398 6.757 4.828 6.679 6.350 6.587 13.705 9.324 9.301 6.369 10.271 6.115 7.772 8.050 5.922 4.545 5.428 5.682 6.405 3.962 6.992 7.353 13.523 10.974 7.979 7.925 6.478 5.947 7.625 4.395 3.536 4.380 9.212 9.245 9.440 2.855 5.415 11.441 5.176 7.837 11.637 10.702 5.407 9.837 6.358 3.656 11.175 5.823 6.840 7.552 10.536 10.289 8.558 10.459 6.398 8.242 6.654 6.846 8.249 5.306 6.121 4.800 7.447 6.118 6.860 5.595 7.680 9.648 7.067 11.551 5.844 7.639 3.932 12.618 7.346 5.285 6.211 7.398 9.621 6.330 5.327 6.013 4.007 5.206 4.222 7.556 8.934 5.865 4.091
8/10/2018 12:00:44 PM,120,168.88,8.922278,288.88,168.973 169.973 170.973 171.973 172.973 173.973 174.973 175.973 176.973 177.973 178.973 179.973 180.973 181.973 182.973 183.973 184.973 185.973 186.973 187.973 188.973 189.973 190.973 191.973 192.973 193.973 194.973 195.973 196.973 197.973 198.973 199.973 200.973 201.973 202.973 203.973 204.973 205.973 206.973 207.973 208.973 209.973 210.973 211.973 212.973 213.973 214.973 215.973 216.973 217.973 218.973 219.973 220.973 221.973 222.973 223.973 224.973 225.973 226.973 227.973 228.973 229.973 230.973 231.973 232.973 233.973 234.973 235.973 236.973 237.973 238.973 239.973 240.973 241.973 242.973 243.973 244.973 245.973 246.973 247.973 248.973 249.973 250.973 251.973 252.973 253.973 254.973 255.973 256.973 257.973 258.973 259.973 260.973 261.973 262.973 263.973 264.973 265.973 266.973 267.973 268.973 269.973 270.973 271.973 272.973 273.973 274.973 275.973 276.973 277.973 278.973 279.973 280.973 281.973 282.973 283.973 284.973 285.973 286.973 287.973,8.101 8.221 3.831 2.693 8.351 10.420 4.178 13.877 7.733 12.145 3.769 2.910 3.832 7.884 6.424 5.417 3.371 6.531 4.228 5.380 5.417 5.489 6.592 13.338 10.158 7.253 6.175 6.163 11.974 3.006 5.559 8.030 10.683 8.067 9.702 6.045 4.438 5.593 11.185 13.835 7.782 6.131 4.968 8.287 11.144 4.860 6.436 3.766 4.745 6.294 4.876 6.475 6.615 8.459 11.972 4.003 9.834 4.962 4.251 7.224 4.994 9.531 6.400 4.272 9.066 5.232 6.578 8.381 17.575 12.756 3.132 16.340 8.901 14.501 4.677 5.813 8.288 6.215 5.649 7.518 5.747 5.408 12.653 4.952 15.025 7.339 4.660 6.264 3.536 9.111 11.920 15.024 4.668 5.675 3.792 7.886 8.728 6.631 12.199 5.660 3.417 4.436 3.094 3.752 5.334 5.734 8.462 6.978 10.415 6.774 4.900 3.740 8.182 11.453 5.726 4.529 7.877 9.322 8.075 9.456
8/10/2018 12:13:35 PM,60,101.32,161.32,101.785 102.785 103.785 104.785 105.785 106.785 107.785 108.785 109.785 110.785 111.785 112.785 113.785 114.785 115.785 116.785 117.785 118.785 119.785 120.785 121.785 122.785 123.785 124.785 125.785 126.785 127.785 128.785 129.785 130.785 131.785 132.785 133.785 134.785 135.785 136.785 137.785 138.785 139.785 140.785 141.785 142.785 143.785 144.785 145.785 146.785 147.785 148.785 149.785 150.785 151.785 152.785 153.785 154.785 155.785 156.785 157.785 158.785 159.785 160.785,6.426 9.416 7.105 6.121 5.094 5.991 9.069 5.134 3.542 8.498 1.918 5.781 5.399 7.058 3.512 11.470 3.062 6.298 5.392 8.798 4.581 4.124 5.732 7.097 5.185 4.261 6.381 9.933 6.469 9.851 15.238 9.870 11.925 4.750 5.137 2.702 3.371 8.435 6.294 5.057 5.753 5.417 4.972 5.479 4.824 5.381 8.411 4.984 4.348 5.564 4.202 6.558 4.981 5.400 9.432 6.536 7.081 2.401 7.238 5.005,30
8/10/2018 12:20:37 PM,60,128.60,188.63,129.504 130.504 131.504 132.504 133.504 134.504 135.504 136.504 137.504 138.504 139.504 140.504 141.504 142.504 143.504 144.504 145.504 146.504 147.504 148.504 149.504 150.504 151.504 152.504 153.504 154.504 155.504 156.504 157.504 158.504 159.504 160.504 161.504 162.504 163.504 164.504 165.504 166.504 167.504 168.504 169.504 170.504 171.504 172.504 173.504 174.504 175.504 176.504 177.504 178.504 179.504 180.504 181.504 182.504 183.504 184.504 185.504 186.504 187.504 188.504,8.457 7.098 14.207 7.931 9.941 5.933 8.720 6.593 7.718 7.354 6.045 5.491 8.380 7.083 8.079 9.096 30.000 30.000 22.290 26.205 10.477 7.605 14.060 12.727 7.723 12.524 5.790 22.748 30.000 30.000 30.000 17.352 29.275 8.790 5.267 15.558 3.276 9.513 9.869 9.884 8.958 3.301 6.459 3.788 4.688 5.681 22.535 10.353 10.823 30.000 13.457 9.364 18.616 30.000 30.000 30.000 30.000 29.375 30.000 18.504,14.61716
8/10/2018 12:27:25 PM,0,199.85,19.33755,199.88,,
8/10/2018 12:33:58 PM,60,592.79,8.956648,652.82,593.160 594.160 595.160 596.160 597.160 598.160 599.160 600.160 601.160 602.160 603.160 604.160 605.160 606.160 607.160 608.160 609.160 610.160 611.160 612.160 613.160 614.160 615.160 616.160 617.160 618.160 619.160 620.160 621.160 622.160 623.160 624.160 625.160 626.160 627.160 628.160 629.160 630.160 631.160 632.160 633.160 634.160 635.160 636.160 637.160 638.160 639.160 640.160 641.160 642.160 643.160 644.160 645.160 646.160 647.160 648.160 649.160 650.160 651.160 652.160,3.645 1.552 11.214 6.301 9.798 6.065 8.535 6.722 4.521 9.302 6.104 14.147 4.581 4.179 5.915 4.489 11.135 5.656 7.741 4.917 9.917 6.309 9.927 4.049 6.172 5.744 6.295 5.937 5.335 8.397 16.852 8.289 6.528 13.857 8.633 7.505 9.938 2.458 3.335 9.335 6.246 5.479 9.980 5.778 2.880 7.367 5.260 4.304 5.859 8.871 8.979 7.087 10.008 6.173 3.831 6.284 17.997 8.985 7.028 7.987
