date,timeset,start,average,stop,time,data
8/29/2018 5:02:43 PM,120,194.54,7.266874,314.54,"194.879 195.879 196.879 197.879 198.879 199.879 200.879 201.879 202.879 203.879 204.879 205.879 206.879 207.879 208.879 209.879 210.879 211.879 212.879 213.879 214.879 215.879 216.879 217.879 218.879 219.879 220.879 221.879 222.879 223.879 224.879 225.879 226.879 227.879 228.879 229.879 230.879 231.879 232.879 233.879 234.879 235.879 236.879 237.879 238.879 239.879 240.879 241.879 242.879 243.879 244.879 245.879 246.879 247.879 248.879 249.879 250.879 251.879 252.879 253.879 254.879 255.879 256.879 257.879 258.879 259.879 260.879 261.879 262.879 263.879 264.879 265.879 266.879 267.879 268.879 269.879 270.879 271.879 272.879 273.879 274.879 275.879 276.879 277.879 278.879 279.879 280.879 281.879 282.879 283.879 284.879 285.879 286.879 287.879 288.879 289.879 290.879 291.879 292.879 293.879 294.879 295.879 296.879 297.879 298.879 299.879 300.879 301.879 302.879 303.879 304.879 305.879 306.879 307.879 308.879 309.879 310.879 311.879 312.879 313.879 ","8.921 4.531 2.511 10.891 7.567 9.033 17.561 7.335 10.069 7.730 5.132 4.306 12.089 6.923 4.354 8.406 6.656 5.110 5.648 3.448 6.169 1.972 3.509 4.330 6.326 2.824 4.084 9.373 9.475 12.456 9.503 15.337 13.817 7.648 7.512 5.375 12.101 14.528 8.867 11.754 9.571 10.338 3.609 4.859 5.553 5.142 5.573 9.185 4.516 17.303 6.343 5.780 4.559 4.310 8.162 5.884 8.306 6.623 5.640 3.510 5.105 5.640 7.895 7.591 5.620 4.048 2.377 3.541 4.016 5.159 10.993 6.924 2.777 2.061 4.434 3.569 2.811 4.079 2.947 8.578 8.574 5.793 7.485 4.877 6.278 5.935 4.210 7.286 5.531 3.130 4.522 3.700 8.375 7.455 11.261 9.920 10.279 5.573 4.813 8.653 14.064 7.878 8.052 23.987 6.967 3.337 3.536 6.858 7.193 12.418 8.012 11.411 5.710 6.719 11.946 12.527 8.172 10.485 8.402 12.826 "
8/29/2018 5:19:32 PM,20,1203.63,7.226388,1223.66,"1203.816 1204.816 1205.816 1206.816 1207.816 1208.816 1209.816 1210.816 1211.816 1212.816 1213.816 1214.816 1215.816 1216.816 1217.816 1218.816 1219.816 1220.816 1221.816 1222.816 ","4.202 4.563 5.515 3.063 3.025 9.717 9.280 5.043 8.378 5.060 7.912 9.280 8.616 7.940 15.162 3.115 16.505 10.305 6.109 1.821 "
9/11/2018 5:05:24 PM,180,361.47,26.36237,541.47,"361.660 362.660 363.660 364.660 365.660 366.660 367.660 368.660 369.660 370.660 371.660 372.660 373.660 374.660 375.660 376.660 377.660 378.660 379.660 380.660 381.660 382.660 383.660 384.660 385.660 386.660 387.660 388.660 389.660 390.660 391.660 392.660 393.660 394.660 395.660 396.660 397.660 398.660 399.660 400.660 401.660 402.660 403.660 404.660 405.660 406.660 407.660 408.660 409.660 410.660 411.660 412.660 413.660 414.660 415.660 416.660 417.660 418.660 419.660 420.660 421.660 422.660 423.660 424.660 425.660 426.660 427.660 428.660 429.660 430.660 431.660 432.660 433.660 434.660 435.660 436.660 437.660 438.660 439.660 440.660 441.660 442.660 443.660 444.660 445.660 446.660 447.660 448.660 449.660 450.660 451.660 452.660 453.660 454.660 455.660 456.660 457.660 458.660 459.660 460.660 461.660 462.660 463.660 464.660 465.660 466.660 467.660 468.660 469.660 470.660 471.660 472.660 473.660 474.660 475.660 476.660 477.660 478.660 479.660 480.660 481.660 482.660 483.660 484.660 485.660 486.660 487.660 488.660 489.660 490.660 491.660 492.660 493.660 494.660 495.660 496.660 497.660 498.660 499.660 500.660 501.660 502.660 503.660 504.660 505.660 506.660 507.660 508.660 509.660 510.660 511.660 512.660 513.660 514.660 515.660 516.660 517.660 518.660 519.660 520.660 521.660 522.660 523.660 524.660 525.660 526.660 527.660 528.660 529.660 530.660 531.660 532.660 533.660 534.660 535.660 536.660 537.660 538.660 539.660 540.660 ","14.381 16.601 43.826 8.941 15.468 14.248 12.674 11.061 16.528 6.672 11.316 9.896 25.674 15.048 10.321 6.139 24.875 7.585 10.234 25.914 9.707 19.924 9.654 20.797 11.769 8.097 15.218 15.379 13.804 16.036 29.288 17.097 16.230 16.335 14.543 35.515 15.221 26.449 14.684 15.734 14.858 19.248 19.506 16.826 31.626 32.725 23.942 10.135 26.551 49.191 83.354 27.502 33.264 47.379 11.915 13.027 26.599 10.895 13.193 12.674 21.190 18.685 25.935 23.451 21.654 36.701 124.538 31.647 20.360 27.595 18.183 44.929 44.567 30.200 54.158 91.988 22.929 41.945 46.979 47.525 69.004 100.280 48.225 25.413 34.577 42.605 15.860 19.779 23.217 15.927 10.228 9.413 18.673 5.994 13.260 20.705 22.795 75.142 35.654 45.460 31.182 25.950 56.761 12.639 40.116 28.367 43.301 9.612 18.885 20.185 29.997 39.967 28.226 20.624 30.617 18.856 30.925 26.642 22.012 42.780 84.801 64.547 19.831 14.981 24.630 49.156 28.232 20.093 22.467 13.420 13.291 25.102 21.410 16.486 17.960 8.853 7.565 16.704 20.960 30.053 13.054 43.242 17.760 25.239 39.663 21.087 29.692 38.679 11.596 35.513 16.228 13.858 24.251 25.700 18.123 60.384 27.776 15.664 22.181 40.013 25.177 21.892 14.605 16.323 23.356 24.817 12.013 16.757 12.948 20.391 27.507 7.939 19.526 17.047 26.354 13.667 51.041 50.893 35.709 36.723 "
